ID,text,target
ynat-v1_train_00283,부산국제코미디페스티벌에 참여합니다,3
ynat-v1_train_01801,폭로전·삿대질·고성·몸싸움…막장 치닫는 바른미래당,4
ynat-v1_train_02137,이주의 뉴스키워드 블랙리스트·가상화폐·권력기관,5
ynat-v1_train_00185,금융발전심의회 전체회의,2
ynat-v1_train_00361,삼성전자 주총…퍼스트무버로 거듭나겠다종합,4
ynat-v1_train_01404,제주국제합창축제 개막,4
ynat-v1_train_01337,차의과학대 현대그린푸드·현대백화점과 사회공헌협약 체결,2
ynat-v1_train_02457,게시판 삼성카드·준오뷰티 업무제휴,2
ynat-v1_train_00024,서울에 다시 오존주의보…도심·서북·동북권 발령종합,1
ynat-v1_train_00332,과학전람회 대통령상에 충북과학고생 최경준·손승연,3
ynat-v1_train_01965,적극행정 다짐하는 방송통신위원회,2
ynat-v1_train_02556,대우건설산업은행 동반성장펀드 조성…협력사 지원,6
ynat-v1_train_02088,전통공연예술진흥재단 연희예술단체에 재공연 지원,0
ynat-v1_train_00684,게시판 자랑스러운 한양언론인상에 임철순·이숙영,1
ynat-v1_train_02600,인어공주부터 겨울왕국까지…디즈니 명곡 메들리로,6
ynat-v1_train_00944,朴대통령 시릴만큼 아프게 부모잃어…안보소명론으로 사드호소종합,2
ynat-v1_train_01388,학원비도 카톡으로…카카오페이 결제시스템 출시,0
ynat-v1_train_01031,평양정상회담정상회담 특별수행단 리용남과 면담,4
ynat-v1_train_00878,늦어지고 있는 단풍…오대산·설악산은 절정종합,0
ynat-v1_train_01998,일리아스·오디세이아…쉽게 읽는 서양 고전문학,1
ynat-v1_train_01303,출연연 국내출장비 정산 실비정산→정액지급…증빙수단 간소화,6
ynat-v1_train_01832,무주서 한국사진기자협회 전북지부 보도사진전,5
ynat-v1_train_00387,코리아둘레길 남해안길 남파랑길로 불러주세요,2
ynat-v1_train_01961,답변하는 강수진 국립발레단장,0
ynat-v1_train_01431,피서는 동해안으로…강원지역 해수욕장 개장,5
ynat-v1_train_01048,한국디지털뉴스협회장에 양상우 한겨레 사장,6
ynat-v1_train_02736,안산·대구·대전·부여에서 노후 공공건축물 리뉴얼 사업,2
ynat-v1_train_00359,홍영표 홍문종·염동열 체포동의안 부결에 사과·책임통감,4
ynat-v1_train_02071,朴대통령 오바마·아베와 연쇄통화…北미사일 대응책 논의,1
ynat-v1_train_02280,내일 남북고위급회담…정상회담 일정·장소 정해질 듯종합,4
ynat-v1_train_01250,국정원 北사이버테러 현실화되고 있다…내일 긴급대책회의,6
ynat-v1_train_02464,엘살바도르 베네수엘라 외교관 추방…베네수엘라도 맞대응,6
ynat-v1_train_01971,민주주의를 망치는 포퓰리스트를 경계하라,0
ynat-v1_train_01056,프로농구연맹 어시스터 모집,6
ynat-v1_train_02104,과학기자협회 올해의 과학자상에 항우연 발사체사업본부,5
ynat-v1_train_02120,벨·뮬로바·마이스키…클래식 스타 일주일 간격 줄내한,3
ynat-v1_train_00413,큰절하는 새누리당 당직자들,6
ynat-v1_train_01938,에어비앤비 만리장성에서의 하룻밤 어때요,2
ynat-v1_train_01118,예탁원 증권박물관 서울학생배움터로 인증,3
ynat-v1_train_01083,이야기하는 김태년과 홍익표,5
ynat-v1_train_00111,세아트 드라이빙 시뮬레이터,5
ynat-v1_train_01675,시원하게 쪽배축제 즐기세요,5
ynat-v1_train_01353,뮤지컬 타이타닉 제작발표회,6
ynat-v1_train_00914,제6회 국제주택도시금융포럼,5
ynat-v1_train_01704,손안의 포켓볼 까롬을 아시나요…춘천국제레저대회 첫선,3
ynat-v1_train_01588,이야기하는 홍준표와 김성태,4
ynat-v1_train_01599,민주일반연맹 비정규직 차별철폐 공동행동,5
ynat-v1_train_00424,경제자유구역 지지부진 개발지연·국내기업 역차별 탓,4
ynat-v1_train_00919,홍윤식 청문회…총선관리·지방재정 등 정책질의 집중,5
ynat-v1_train_01848,새누리 새 원내대표에 정진석…정책위의장 김광림속보,2
ynat-v1_train_00882,국립현대미술관 미술과 민주주의 화두로 국제심포지엄,3
ynat-v1_train_00708,필리핀 토지은행·리잘상업은행 한진중공업 주식 취득,3
ynat-v1_train_02500,中企제품 구매 우수 인천·춘천시·한수원 대통령표창,5
ynat-v1_train_01861,쿠쿠홈시스 최대주주 쿠쿠홀딩스로 변경,0
ynat-v1_train_02147,미국 아프간서 발빼자…중국이 들어갔다,0
ynat-v1_train_01561,신간 삶이라는 동물원·지방도시 살생부,5
ynat-v1_train_01737,중기부 규제자유특구 분과위원장 간담회,6
ynat-v1_train_02696,文대통령 베트남 당서기장 만나…국회의장·총리와도 면담종합2보,1
ynat-v1_train_00817,트럼프가 한사코 부인했는데…멀베이니가 우크라 대가성 인정종합,0
ynat-v1_train_01944,추미애 검언유착 책임론 정면돌파…윤석열 고립·이성윤 신임종합,2
ynat-v1_train_00905,베어링운용 증시 기초여건 우호적…위험요건은 상존,6
ynat-v1_train_01905,금융위 집단대출·비은행권 가계대출 집중관리 필요,2
ynat-v1_train_00081,한산한 성산일출봉 주차장,3
ynat-v1_train_02605,레바논서 사흘째 거리시위…경제난에 정권퇴진 요구,5
ynat-v1_train_01919,런던심포니가 들려준 천상의 삶…평화롭지만 지루해,0
ynat-v1_train_01982,김빛내리·현택환·오용근 단장팀 연구 세계적 수준,4
ynat-v1_train_00986,평양정상회담 남북은 하나,6
ynat-v1_train_02209,카카오 로봇모듈·모바일게임 업체에 잇단 투자종합,2
ynat-v1_train_00410,직장인 금융자문 받으세요…금감원 머니콘서트 개최,5
ynat-v1_train_00799,한전 감사위원에 이성한 전경찰청장·조전혁 전의원,3
ynat-v1_train_02174,주상복합건물 동 사이 거리 좁아진다…건축연면적↑,5
ynat-v1_train_01498,배구협회 세계한인여성협회와 대표팀 지원 업무협약,1
ynat-v1_train_01100,오신환 준연동형 비례대표제공수처 기소권 제한 대타협하자종합,6
ynat-v1_train_00709,위클리 스마트 이산화탄소로 화학원료를…잎의 선물 인공광합성,5
ynat-v1_train_00312,朴대통령 한불 비즈니스포럼·K콘 참석…파리서 경제·문화외교,0
ynat-v1_train_01219,전세보증금 반환보증 가입 급증…전세금 받아달라 청구도↑종합,2
ynat-v1_train_02483,광주전남 보도사진전 전남도청서 개막,3
ynat-v1_train_00232,충북 가마솥더위 지속…주말도 더워요,2
ynat-v1_train_02649,아이팩토리 상장폐지 이의신청서 제출,1
ynat-v1_train_02075,시민단체 전남도의회 누리예산 추경심의 보류하라,5
ynat-v1_train_01845,먼지공습 걷혔다…경기 전역 미세먼지주의보 해제,2
ynat-v1_train_01367,월드컵 손흥민·황희찬 발끝김신욱 머리에 달렸다,1
ynat-v1_train_01566,게시판 인텔 국제과학기술경진대회 대표단 발대식,3
ynat-v1_train_02148,경기도 전역 미세먼지 주의보…야외활동 자제종합,3
ynat-v1_train_00433,재즈·디지털아트·설치미술과 만난 무용 더 토핑,5
ynat-v1_train_01071,해킹 원천차단하는 양자암호통신 국가시험망 개소,1
ynat-v1_train_00148,시리보다 내가 낫다…빅스비의 세로드립 도발종합,2
ynat-v1_train_01922,소말리아서 미군기지 겨냥 폭탄테러…알샤바브 배후 자처종합,5
ynat-v1_train_02337,정몽구 현대건설 이사직 물러나…자동차에 주력,4
ynat-v1_train_00758,특징주 두산솔루스 분할상장 나흘째 상한가종합,4
